Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-9.54880772594721E-07,0.0464116058279854,0.0121268540557259,0,0,0,0.727501628669828,0.00246800158075418,1.75628213091201E-08,1.38332715719944E-08,0.00246847726958773,-2.52422596482019E-06,0.00247970018962611,0,0,0,0,0,0,package://V800_cam/meshes/body.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://V800_cam/meshes/body.STL,,body_subassem-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
00,-3.63001309788835E-07,-3.63001309774957E-07,0.0577248764406495,0,0,0,0.103853927874307,7.62606139414576E-05,1.36848222674851E-14,-6.41822721035026E-10,7.58096552667325E-05,-6.41822721058743E-10,3.22965690401587E-05,0,0,0,0,0,0,package://V800_cam/meshes/00.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V800_cam/meshes/00.STL,,frame-1,Origin_body_00,Axis_body_00,body_00,fixed,-0.0747135099226025,-0.102834290944804,0.0313999218452649,1.93566015490837,1.01722196789785,-0.314159265358987,body,0.499999999999997,0.645497224367903,-0.577350269189628,0,0,0,0,,,,,,,,
01,-1.45200523903044E-06,-1.45200523907207E-06,0.0577259654445788,0,0,0,0.103853927874307,6.67941659320179E-05,2.18957247335804E-13,-2.79364977318897E-09,8.52661387999373E-05,-2.79364977317415E-09,3.2296568629614E-05,0,0,0,0,0,0,package://V800_cam/meshes/01.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V800_cam/meshes/01.STL,,frame-2,Origin_00_01,Axis_00_01,00_01,fixed,0,0,0.0812000000000001,0,0,1.5707963267949,00,0.130361389473839,-0.404508497187467,-0.905195439580639,0,0,0,0,,,,,,,,
02,-4.16333634234434E-17,-0.0532160764699447,0.0531179899870654,0,0,0,0.141254271685154,0.000416559633615451,6.26804380968182E-20,6.7762635780344E-20,5.44190175587168E-05,6.08030153794327E-05,0.000394411456477928,0,0,0,0,0,0,package://V800_cam/meshes/02.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V800_cam/meshes/02.STL,,frame-3,Origin_01_02,Axis_01_02,01_02,fixed,0,0,0.0811999999999999,0,0,0,01,0.130361389473844,-0.404508497187469,-0.905195439580638,0,0,0,0,,,,,,,,
10,-3.63001309802713E-07,-3.63001309806182E-07,0.0577248764406495,0,0,0,0.103853927874307,7.62606139414575E-05,1.36848286202322E-14,-6.41822720990557E-10,7.58096552667324E-05,-6.41822721030791E-10,3.22965690401588E-05,0,0,0,0,0,0,package://V800_cam/meshes/10.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V800_cam/meshes/10.STL,,frame-25,Origin_body_10,Axis_body_10,body_10,fixed,-0.120888987481397,0.0392792161591044,0.0313999218452654,-1.93566015490837,1.01722196789785,0.942477796076945,body,0.309016994374946,-0.178411044886551,-0.934172358962715,0,0,0,0,,,,,,,,
11,-1.45200523905126E-06,-1.45200523912065E-06,0.0577259654445788,0,0,0,0.103853927874307,6.67941659320179E-05,2.18957271476243E-13,-2.7936497731822E-09,8.52661387999373E-05,-2.79364977314705E-09,3.2296568629614E-05,0,0,0,0,0,0,package://V800_cam/meshes/11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V800_cam/meshes/11.STL,,frame-24,Origin_10_11,Axis_10_11,10_11,fixed,0,0,0.0812,0,0,1.5707963267949,10,-0.653743628772558,-0.453601232885025,0.605693973359875,0,0,0,0,,,,,,,,
12,1.38777878078145E-17,-0.0532160764699449,0.0531179899870651,0,0,0,0.141254271685154,0.000416559633615451,-1.18584612615602E-20,2.03287907341032E-20,5.44190175587165E-05,6.08030153794317E-05,0.000394411456477929,0,0,0,0,0,0,package://V800_cam/meshes/12.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V800_cam/meshes/12.STL,,frame-23,Origin_11_12,Axis_11_12,11_12,fixed,0,0,0.0811999999999999,0,0,0,11,-0.65374362877256,-0.45360123288503,0.605693973359869,0,0,0,0,,,,,,,,
20,-3.63001309788835E-07,-3.63001309740263E-07,0.0577248764406495,0,0,0,0.103853927874307,7.62606139414577E-05,1.3684816761771E-14,-6.4182272100538E-10,7.58096552667326E-05,-6.41822721070601E-10,3.22965690401588E-05,0,0,0,0,0,0,package://V800_cam/meshes/20.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V800_cam/meshes/20.STL,,frame-28,Origin_body_20,Axis_body_20,body_20,fixed,0.120888987481397,0.0392792161591044,0.0313999218452653,1.93566015490837,1.01722196789785,2.19911485751285,body,-0.309016994374946,-0.178411044886551,0.934172358962715,0,0,0,0,,,,,,,,
21,-1.45200523913105E-06,-1.45200523910677E-06,0.0577259654445788,0,0,0,0.103853927874307,6.67941659320179E-05,2.18957257923716E-13,-2.79364977312121E-09,8.52661387999373E-05,-2.79364977315043E-09,3.2296568629614E-05,0,0,0,0,0,0,package://V800_cam/meshes/21.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V800_cam/meshes/21.STL,,frame-27,Origin_20_21,Axis_20_21,20_21,fixed,0,0,0.0812,0,0,1.5707963267949,20,-0.653743628772563,0.453601232885027,-0.605693973359868,0,0,0,0,,,,,,,,
22,1.11022302462516E-16,-0.0532160764699448,0.0531179899870652,0,0,0,0.141254271685154,0.000416559633615451,1.43148568085977E-19,0,5.44190175587166E-05,6.08030153794322E-05,0.000394411456477928,0,0,0,0,0,0,package://V800_cam/meshes/22.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V800_cam/meshes/22.STL,,frame-26,Origin_21_22,Axis_21_22,21_22,fixed,0,0,0.0812000000000002,0,0,0,21,-0.653743628772563,0.453601232885022,-0.605693973359872,0,0,0,0,,,,,,,,
30,-3.63001309781896E-07,-3.63001309740263E-07,0.0577248764406495,0,0,0,0.103853927874307,7.62606139414576E-05,1.36848362435288E-14,-6.4182272102105E-10,7.58096552667324E-05,-6.41822721092624E-10,3.22965690401588E-05,0,0,0,0,0,0,package://V800_cam/meshes/30.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V800_cam/meshes/30.STL,,frame-31,Origin_body_30,Axis_body_30,body_30,fixed,0.0747135099226025,-0.102834290944804,0.031399921845265,-1.93566015490838,1.01722196789785,-2.82743338823081,body,-0.499999999999997,0.645497224367902,0.577350269189629,0,0,0,0,,,,,,,,
31,-1.45200523903044E-06,-1.45200523907207E-06,0.0577259654445787,0,0,0,0.103853927874307,6.67941659320179E-05,2.18957264276463E-13,-2.79364977319152E-09,8.52661387999373E-05,-2.7936497731877E-09,3.22965686296139E-05,0,0,0,0,0,0,package://V800_cam/meshes/31.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V800_cam/meshes/31.STL,,frame-30,Origin_30_31,Axis_30_31,30_31,fixed,0,0,0.0812,0,0,1.5707963267949,30,0.130361389473843,0.404508497187468,0.905195439580639,0,0,0,0,,,,,,,,
32,-4.16333634234434E-17,-0.0532160764699449,0.0531179899870652,0,0,0,0.141254271685154,0.000416559633615451,-2.99849663328022E-19,4.06575814682064E-20,5.44190175587166E-05,6.0803015379432E-05,0.000394411456477929,0,0,0,0,0,0,package://V800_cam/meshes/32.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V800_cam/meshes/32.STL,,frame-29,Origin_31_32,Axis_31_32,31_32,fixed,0,0,0.0812,0,0,0,31,0.13036138947384,0.404508497187465,0.905195439580641,0,0,0,0,,,,,,,,
camera,-6.93889390390723E-18,-2.77555756156289E-17,0.00100000000000001,0,0,0,3.92699081698723E-05,7.44492009053829E-11,3.39483796978698E-28,-4.06822130565541E-25,7.44492009053829E-11,3.87740912134232E-26,1.22718463030851E-10,0,0,0,0,0,0,package://V800_cam/meshes/camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V800_cam/meshes/camera.STL,,SIM_CAM-1,Origin_body_cam,Axis_body_cam,body_cam,fixed,-0.0315000177857023,0.12846719592633,0.0788583994340734,0.858487020413039,0,0,body,0,0,0,,,,,,,,,,,,
